Rank,Feature,Importance,Importance_Percentage
1,Error_Rate_%,0.6618464824773781,66.18464824773781
2,Production_Speed_units_per_hr,0.3316222206265804,33.162222062658046
3,Temperature_C,0.0010224994409543755,0.10224994409543756
4,Network_Latency_ms,0.000989889182199694,0.0989889182199694
5,Packet_Loss_%,0.0009465433178719614,0.09465433178719614
6,Predictive_Maintenance_Score,0.0009202539654687214,0.09202539654687214
7,Power_Consumption_kW,0.0009131394671079739,0.09131394671079739
8,Quality_Control_Defect_Rate_%,0.0008757831199130847,0.08757831199130847
9,Vibration_Hz,0.0008631884025256075,0.08631884025256076
